JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Elm Avenue/Rabbit Road,15/06/2024,0:40:34,W,W,Overcast,30,34,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,0:29:55,E,N,Overcast,30,15,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,0:06:27,E,E,Overcast,30,16,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,0:11:28,W,N,Overcast,30,18,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,0:37:28,E,E,Overcast,30,4,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,0:46:48,N,N,Overcast,30,33,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,0:35:37,W,W,Overcast,30,12,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,0:13:09,W,N,Overcast,30,34,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,0:56:49,W,S,Overcast,30,10,Van,FALSE
Hanley Highway/Westway,15/06/2024,0:21:20,SW,SW,Overcast,20,15,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,0:28:19,NE,NW,Overcast,20,21,Car,TRUE
Hanley Highway/Westway,15/06/2024,0:54:34,SE,SW,Overcast,20,27,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,0:59:31,SW,SW,Overcast,20,27,Car,TRUE
Hanley Highway/Westway,15/06/2024,0:02:04,SW,SW,Overcast,20,14,Motorcycle,TRUE
Hanley Highway/Westway,15/06/2024,0:21:24,SW,SE,Overcast,20,11,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,0:28:34,SW,NW,Overcast,20,5,Car,FALSE
Hanley Highway/Westway,15/06/2024,0:58:38,SW,SW,Overcast,20,11,Van,FALSE
Hanley Highway/Westway,15/06/2024,0:42:23,NW,SE,Overcast,20,18,Buss,FALSE
Hanley Highway/Westway,15/06/2024,0:12:06,SW,SW,Overcast,20,2,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,0:25:00,SW,SE,Overcast,20,1,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,0:06:09,SW,SW,Overcast,20,15,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:01:23,E,N,Overcast,30,21,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:40:02,S,S,Overcast,30,26,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:52:27,W,N,Overcast,30,11,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:54:43,E,E,Overcast,30,28,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:09:05,E,N,Overcast,30,10,Motorcycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,1:53:36,S,S,Overcast,30,31,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:38:29,W,N,Overcast,30,14,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:52:30,S,S,Overcast,30,27,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:18:00,N,N,Overcast,30,6,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,1:20:10,S,E,Overcast,30,15,Motorcycle,TRUE
Hanley Highway/Westway,15/06/2024,1:48:11,SW,SE,Overcast,20,21,Car,FALSE
Hanley Highway/Westway,15/06/2024,1:33:14,NW,SE,Overcast,20,27,Van,TRUE
Hanley Highway/Westway,15/06/2024,1:16:48,SW,SW,Overcast,20,14,Buss,TRUE
Hanley Highway/Westway,15/06/2024,1:30:30,SW,NW,Overcast,20,17,Car,FALSE
Hanley Highway/Westway,15/06/2024,1:09:07,SE,SW,Overcast,20,22,Car,FALSE
Hanley Highway/Westway,15/06/2024,1:21:35,SE,SE,Overcast,20,16,Car,FALSE
Hanley Highway/Westway,15/06/2024,1:15:40,SW,SW,Overcast,20,18,Van,FALSE
Hanley Highway/Westway,15/06/2024,1:48:23,SW,NW,Overcast,20,3,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,1:02:16,SW,SE,Overcast,20,18,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,1:33:05,NE,NE,Overcast,20,17,Van,TRUE
Hanley Highway/Westway,15/06/2024,1:56:15,NW,SW,Overcast,20,19,Car,TRUE
Hanley Highway/Westway,15/06/2024,1:14:38,NW,SE,Overcast,20,10,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,1:47:39,NW,NW,Overcast,20,8,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,1:51:16,SW,SW,Overcast,20,8,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,2:50:32,S,W,Overcast,30,19,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,2:39:30,W,W,Overcast,30,29,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:34:42,S,E,Overcast,30,27,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:21:14,S,S,Overcast,30,18,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:10:58,E,E,Overcast,30,32,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,2:04:24,W,W,Overcast,30,23,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:15:29,N,W,Overcast,30,8,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:49:56,N,N,Overcast,30,10,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,2:21:18,W,S,Overcast,30,15,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:03:48,E,N,Overcast,30,12,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:11:26,W,N,Overcast,30,20,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,2:43:39,E,E,Overcast,30,6,Car,FALSE
Hanley Highway/Westway,15/06/2024,2:35:53,NE,NE,Overcast,20,26,Truck,FALSE
Hanley Highway/Westway,15/06/2024,2:19:37,NW,NW,Overcast,20,23,Car,TRUE
Hanley Highway/Westway,15/06/2024,2:22:18,NW,SW,Overcast,20,23,Truck,FALSE
Hanley Highway/Westway,15/06/2024,2:56:47,SW,NW,Overcast,20,16,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,2:02:03,NW,NW,Overcast,20,10,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,2:50:34,SW,NW,Overcast,20,12,Truck,FALSE
Hanley Highway/Westway,15/06/2024,2:04:28,NW,NW,Overcast,20,2,Car,FALSE
Hanley Highway/Westway,15/06/2024,2:57:15,NW,NW,Overcast,20,27,Car,TRUE
Hanley Highway/Westway,15/06/2024,2:29:43,SW,SW,Overcast,20,10,Van,FALSE
Hanley Highway/Westway,15/06/2024,2:19:32,SE,SE,Overcast,20,22,Van,TRUE
Hanley Highway/Westway,15/06/2024,2:45:45,SW,SE,Overcast,20,4,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,2:19:07,SW,SW,Overcast,20,4,Car,FALSE
Hanley Highway/Westway,15/06/2024,2:50:26,SE,NE,Overcast,20,2,Buss,FALSE
Hanley Highway/Westway,15/06/2024,2:50:14,NE,NW,Overcast,20,1,Car,TRUE
Hanley Highway/Westway,15/06/2024,2:57:23,SE,NE,Overcast,20,5,Truck,FALSE
Hanley Highway/Westway,15/06/2024,2:59:00,NE,NE,Overcast,20,12,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:15:18,S,W,Clear,30,14,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:45:45,E,S,Clear,30,9,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:50:38,W,S,Clear,30,11,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:58:36,E,S,Clear,30,2,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:17:08,S,W,Clear,30,12,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:11:23,N,W,Clear,30,29,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:58:34,S,S,Clear,30,28,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,3:20:35,S,W,Clear,30,32,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:57:08,S,W,Clear,30,14,Buss,TRUE
Elm Avenue/Rabbit Road,15/06/2024,3:29:25,W,N,Clear,30,33,Buss,TRUE
Elm Avenue/Rabbit Road,15/06/2024,3:34:53,W,S,Clear,30,13,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:17:53,N,W,Clear,30,1,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:13:18,S,E,Clear,30,10,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,3:06:06,S,E,Clear,30,18,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,3:49:35,S,S,Clear,30,32,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,3:04:09,S,S,Clear,30,15,Van,FALSE
Hanley Highway/Westway,15/06/2024,3:29:37,SW,SW,Clear,20,17,Van,FALSE
Hanley Highway/Westway,15/06/2024,3:13:54,SW,SE,Clear,20,5,Car,FALSE
Hanley Highway/Westway,15/06/2024,3:23:39,SW,NW,Clear,20,6,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,3:07:29,NW,SE,Clear,20,1,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,3:41:39,NW,NW,Clear,20,23,Truck,FALSE
Hanley Highway/Westway,15/06/2024,3:46:06,SW,SW,Clear,20,18,Van,TRUE
Hanley Highway/Westway,15/06/2024,3:06:52,SW,SW,Clear,20,5,Van,FALSE
Hanley Highway/Westway,15/06/2024,3:59:23,NE,SE,Clear,20,9,Car,FALSE
Hanley Highway/Westway,15/06/2024,3:44:26,SW,NW,Clear,20,14,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,3:34:49,SW,SW,Clear,20,19,Truck,FALSE
Hanley Highway/Westway,15/06/2024,3:49:58,NW,SE,Clear,20,5,Car,TRUE
Hanley Highway/Westway,15/06/2024,3:52:19,SW,SE,Clear,20,2,Buss,TRUE
Hanley Highway/Westway,15/06/2024,3:49:35,SW,NW,Clear,20,21,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,3:41:20,NE,SE,Clear,20,17,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,4:15:57,N,E,Clear,30,13,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,4:55:38,N,E,Clear,30,2,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,4:13:32,N,W,Clear,30,9,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,4:41:25,S,E,Clear,30,11,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,4:18:53,W,N,Clear,30,32,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,4:45:09,S,S,Clear,30,1,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,4:47:48,S,E,Clear,30,11,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,4:13:24,N,N,Clear,30,1,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,4:06:12,N,E,Clear,30,23,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,4:14:25,N,E,Clear,30,16,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,4:15:32,N,N,Clear,30,32,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,4:29:38,S,S,Clear,30,17,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,4:31:05,N,E,Clear,30,2,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,4:15:31,N,N,Clear,30,9,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,4:59:52,SE,NE,Clear,20,4,Car,FALSE
Hanley Highway/Westway,15/06/2024,4:48:52,SW,SE,Clear,20,26,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,4:15:13,NE,NE,Clear,20,12,Buss,FALSE
Hanley Highway/Westway,15/06/2024,4:10:22,SW,SE,Clear,20,21,Truck,FALSE
Hanley Highway/Westway,15/06/2024,4:42:10,SW,SE,Clear,20,21,Van,FALSE
Hanley Highway/Westway,15/06/2024,4:52:03,SW,SW,Clear,20,1,Car,TRUE
Hanley Highway/Westway,15/06/2024,4:09:21,SW,SE,Clear,20,2,Van,TRUE
Hanley Highway/Westway,15/06/2024,4:41:15,SW,SW,Clear,20,22,Car,FALSE
Hanley Highway/Westway,15/06/2024,4:15:11,SW,NW,Clear,20,23,Car,FALSE
Hanley Highway/Westway,15/06/2024,4:10:21,SW,SW,Clear,20,11,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,4:35:14,NW,SW,Clear,20,7,Car,FALSE
Hanley Highway/Westway,15/06/2024,4:05:42,NE,NE,Clear,20,27,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,4:34:05,SW,NW,Clear,20,16,Car,FALSE
Hanley Highway/Westway,15/06/2024,4:04:02,NE,NW,Clear,20,3,Car,FALSE
Hanley Highway/Westway,15/06/2024,4:58:16,SW,SE,Clear,20,20,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:47:16,W,N,Clear,30,22,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:29:36,N,N,Clear,30,11,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:07:10,N,W,Clear,30,29,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,5:41:24,S,S,Clear,30,12,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:06:33,N,N,Clear,30,34,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,5:04:32,N,N,Clear,30,11,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,5:41:24,S,S,Clear,30,18,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:40:05,N,W,Clear,30,9,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:11:38,E,N,Clear,30,29,Buss,TRUE
Elm Avenue/Rabbit Road,15/06/2024,5:56:56,E,N,Clear,30,32,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:25:18,N,E,Clear,30,12,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:21:40,N,W,Clear,30,9,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:43:36,N,W,Clear,30,7,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:23:36,W,N,Clear,30,26,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,5:19:58,E,S,Clear,30,21,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:46:30,S,E,Clear,30,28,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,5:10:37,N,W,Clear,30,25,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,5:07:57,S,W,Clear,30,22,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,5:28:31,SW,NW,Clear,20,10,Buss,FALSE
Hanley Highway/Westway,15/06/2024,5:03:41,SW,NW,Clear,20,2,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,5:48:30,NW,SW,Clear,20,17,Car,FALSE
Hanley Highway/Westway,15/06/2024,5:10:17,SW,SW,Clear,20,19,Car,FALSE
Hanley Highway/Westway,15/06/2024,5:45:43,SW,SE,Clear,20,15,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,5:29:39,NW,SE,Clear,20,10,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,5:30:55,NW,NW,Clear,20,22,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,5:32:21,SW,NW,Clear,20,4,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,5:42:01,NW,SE,Clear,20,1,Truck,FALSE
Hanley Highway/Westway,15/06/2024,5:28:50,SW,NW,Clear,20,27,Truck,FALSE
Hanley Highway/Westway,15/06/2024,5:39:33,SW,SW,Clear,20,8,Motorcycle,TRUE
Hanley Highway/Westway,15/06/2024,5:06:45,SW,SE,Clear,20,7,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,5:26:46,SW,SE,Clear,20,17,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,5:02:51,SW,SE,Clear,20,2,Car,TRUE
Hanley Highway/Westway,15/06/2024,5:19:54,SE,NE,Clear,20,19,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,5:10:52,SW,NW,Clear,20,10,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,5:41:24,SW,NW,Clear,20,23,Car,FALSE
Hanley Highway/Westway,15/06/2024,5:26:10,NE,NE,Clear,20,10,Van,TRUE
Hanley Highway/Westway,15/06/2024,5:04:44,SE,SE,Clear,20,5,Car,FALSE
Hanley Highway/Westway,15/06/2024,5:37:00,NW,NW,Clear,20,27,Truck,FALSE
Hanley Highway/Westway,15/06/2024,5:23:44,SW,SE,Clear,20,26,Van,TRUE
Hanley Highway/Westway,15/06/2024,5:45:26,SW,SE,Clear,20,21,Car,TRUE
Hanley Highway/Westway,15/06/2024,5:14:51,NW,NW,Clear,20,27,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,6:19:29,S,E,Clear,30,17,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,6:21:34,N,N,Clear,30,19,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,6:12:58,S,E,Clear,30,3,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,6:54:22,N,W,Clear,30,8,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,6:19:08,E,E,Clear,30,25,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,6:29:36,N,N,Clear,30,34,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,6:05:46,E,N,Clear,30,20,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,6:45:18,N,E,Clear,30,20,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,6:16:30,N,E,Clear,30,16,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,6:18:09,N,W,Clear,30,33,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,6:52:04,S,E,Clear,30,10,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,6:27:36,S,S,Clear,30,18,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,6:29:09,E,N,Clear,30,13,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,6:34:38,W,S,Clear,30,10,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,6:01:33,W,W,Clear,30,30,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,6:27:02,E,S,Clear,30,1,Buss,TRUE
Elm Avenue/Rabbit Road,15/06/2024,6:21:17,W,S,Clear,30,31,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,6:57:34,W,S,Clear,30,26,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,6:44:17,W,N,Clear,30,10,Car,FALSE
Hanley Highway/Westway,15/06/2024,6:38:21,SW,NW,Clear,20,6,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,6:02:56,SE,NE,Clear,20,17,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,6:28:25,NE,NE,Clear,20,25,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,6:48:07,NW,SW,Clear,20,12,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,6:11:08,SW,NW,Clear,20,3,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,6:43:41,SW,SW,Clear,20,12,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,6:35:54,SW,SE,Clear,20,16,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,6:54:57,NW,NW,Clear,20,26,Car,FALSE
Hanley Highway/Westway,15/06/2024,6:59:22,SW,SE,Clear,20,9,Van,FALSE
Hanley Highway/Westway,15/06/2024,6:58:20,SW,NW,Clear,20,22,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,6:20:24,SW,SW,Clear,20,27,Buss,FALSE
Hanley Highway/Westway,15/06/2024,6:12:18,NW,NW,Clear,20,11,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,6:07:10,SW,NW,Clear,20,26,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,6:38:36,NW,SW,Clear,20,6,Truck,FALSE
Hanley Highway/Westway,15/06/2024,6:13:11,SW,NW,Clear,20,27,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,6:24:14,NE,NE,Clear,20,1,Van,TRUE
Hanley Highway/Westway,15/06/2024,6:42:17,NW,NW,Clear,20,5,Truck,FALSE
Hanley Highway/Westway,15/06/2024,6:53:21,NE,NE,Clear,20,8,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,6:39:07,NW,NW,Clear,20,20,Van,FALSE
Hanley Highway/Westway,15/06/2024,6:20:26,NW,SW,Clear,20,1,Van,FALSE
Hanley Highway/Westway,15/06/2024,6:19:46,SW,SW,Clear,20,3,Car,FALSE
Hanley Highway/Westway,15/06/2024,6:24:48,NW,NW,Clear,20,1,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:16:48,N,W,Clear,30,9,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:33:02,N,W,Clear,30,32,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:44:29,N,W,Clear,30,6,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:55:00,N,N,Clear,30,18,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:14:08,W,N,Clear,30,19,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:52:58,W,S,Clear,30,15,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:48:27,S,W,Clear,30,29,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:15:48,W,S,Clear,30,27,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:56:16,W,S,Clear,30,15,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,7:32:52,W,N,Clear,30,5,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:19:39,W,S,Clear,30,33,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:09:02,N,E,Clear,30,17,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:32:03,S,W,Clear,30,28,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,7:16:26,N,N,Clear,30,32,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,7:20:34,E,N,Clear,30,21,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:15:12,N,N,Clear,30,17,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,7:17:17,S,S,Clear,30,29,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:57:18,S,W,Clear,30,34,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,7:02:04,S,S,Clear,30,33,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,7:21:06,W,S,Clear,30,5,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,7:28:50,W,N,Clear,30,11,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,7:00:32,W,N,Clear,30,13,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:49:00,E,E,Clear,30,8,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:51:19,S,S,Clear,30,34,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,7:55:16,E,N,Clear,30,1,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,7:44:43,SW,NW,Clear,20,1,Buss,FALSE
Hanley Highway/Westway,15/06/2024,7:21:12,SW,NW,Clear,20,11,Car,FALSE
Hanley Highway/Westway,15/06/2024,7:10:11,SW,NW,Clear,20,12,Car,FALSE
Hanley Highway/Westway,15/06/2024,7:22:38,SW,NW,Clear,20,12,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,7:23:30,NW,SW,Clear,20,26,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,7:05:28,SE,SW,Clear,20,4,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,7:14:07,SW,SE,Clear,20,15,Car,FALSE
Hanley Highway/Westway,15/06/2024,7:56:04,SW,SE,Clear,20,24,Van,FALSE
Hanley Highway/Westway,15/06/2024,7:37:46,NW,SW,Clear,20,16,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,7:31:56,SW,NW,Clear,20,23,Car,TRUE
Hanley Highway/Westway,15/06/2024,7:21:50,SE,NE,Clear,20,27,Truck,FALSE
Hanley Highway/Westway,15/06/2024,7:59:27,SW,NW,Clear,20,27,Car,FALSE
Hanley Highway/Westway,15/06/2024,7:59:48,SW,SE,Clear,20,16,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,7:43:23,SW,SW,Clear,20,6,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,7:02:22,NW,SW,Clear,20,14,Car,FALSE
Hanley Highway/Westway,15/06/2024,7:15:52,NW,SW,Clear,20,17,Car,FALSE
Hanley Highway/Westway,15/06/2024,7:03:05,SW,SE,Clear,20,8,Car,TRUE
Hanley Highway/Westway,15/06/2024,7:58:05,NW,SW,Clear,20,5,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,7:32:14,SW,NW,Clear,20,10,Buss,FALSE
Hanley Highway/Westway,15/06/2024,7:50:00,SW,SE,Clear,20,11,Car,FALSE
