JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Hanley Highway/Westway,15/06/2024,7:17:01,SW,SW,Clear,20,20,Car,FALSE
Hanley Highway/Westway,15/06/2024,7:25:17,NW,SE,Clear,20,4,Car,TRUE
Hanley Highway/Westway,15/06/2024,7:19:26,SW,SW,Clear,20,25,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,7:12:18,NW,SE,Clear,20,2,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,7:32:49,SW,NW,Clear,20,25,Car,FALSE
Hanley Highway/Westway,15/06/2024,7:32:54,NW,SE,Clear,20,25,Buss,FALSE
Hanley Highway/Westway,15/06/2024,7:20:57,SW,SW,Clear,20,15,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,7:12:33,NW,SW,Clear,20,4,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:57:54,W,W,Clear,30,1,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:16:50,E,E,Clear,30,25,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:18:25,S,W,Clear,30,18,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:22:49,N,W,Clear,30,33,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:47:22,N,W,Clear,30,25,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:14:30,N,E,Clear,30,22,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:49:30,N,W,Clear,30,28,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:17:37,N,E,Clear,30,32,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:23:42,W,N,Clear,30,11,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:33:45,S,W,Clear,30,3,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:17:49,E,S,Clear,30,25,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:32:18,S,W,Clear,30,5,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:28:49,N,W,Clear,30,12,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:16:45,N,W,Clear,30,12,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,8:25:50,E,E,Clear,30,28,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,8:38:01,S,E,Clear,30,2,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:03:46,E,E,Clear,30,14,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:00:07,N,N,Clear,30,11,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:25:50,E,S,Clear,30,20,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:32:44,N,W,Clear,30,6,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,8:24:23,N,W,Clear,30,11,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:53:06,S,E,Clear,30,34,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,8:09:50,S,S,Clear,30,29,Buss,FALSE
Hanley Highway/Westway,15/06/2024,8:42:43,SW,SW,Clear,20,16,Motorcycle,TRUE
Hanley Highway/Westway,15/06/2024,8:47:14,SW,SW,Clear,20,12,Motorcycle,TRUE
Hanley Highway/Westway,15/06/2024,8:15:28,NW,SE,Clear,20,19,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,8:44:00,NW,SW,Clear,20,6,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,8:40:21,NE,NE,Clear,20,1,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,8:56:57,SW,SE,Clear,20,5,Car,FALSE
Hanley Highway/Westway,15/06/2024,8:45:41,NW,SW,Clear,20,6,Car,FALSE
Hanley Highway/Westway,15/06/2024,8:52:03,SW,SE,Clear,20,7,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,8:16:25,SW,SW,Clear,20,21,Car,FALSE
Hanley Highway/Westway,15/06/2024,8:57:39,NW,SE,Clear,20,25,Van,FALSE
Hanley Highway/Westway,15/06/2024,8:42:20,SW,SW,Clear,20,22,Car,TRUE
Hanley Highway/Westway,15/06/2024,8:49:01,SE,SW,Clear,20,21,Van,TRUE
Hanley Highway/Westway,15/06/2024,8:40:49,SW,NW,Clear,20,10,Truck,FALSE
Hanley Highway/Westway,15/06/2024,8:23:03,NW,SW,Clear,20,14,Car,FALSE
Hanley Highway/Westway,15/06/2024,8:05:08,SW,NW,Clear,20,14,Car,TRUE
Hanley Highway/Westway,15/06/2024,8:26:07,SW,SE,Clear,20,24,Van,FALSE
Hanley Highway/Westway,15/06/2024,8:00:05,SW,SE,Clear,20,12,Truck,FALSE
Hanley Highway/Westway,15/06/2024,8:45:34,NE,SE,Clear,20,4,Buss,FALSE
Hanley Highway/Westway,15/06/2024,8:59:52,SW,SW,Clear,20,11,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,8:12:06,SW,SE,Clear,20,14,Van,TRUE
Hanley Highway/Westway,15/06/2024,8:49:39,NW,SE,Clear,20,21,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,8:33:15,SW,NW,Clear,20,20,Car,TRUE
Hanley Highway/Westway,15/06/2024,8:39:26,SE,SE,Clear,20,1,Van,FALSE
Hanley Highway/Westway,15/06/2024,8:48:41,SW,SW,Clear,20,1,Car,FALSE
Hanley Highway/Westway,15/06/2024,8:20:23,SW,SE,Clear,20,1,Van,TRUE
Hanley Highway/Westway,15/06/2024,8:06:40,SE,SE,Clear,20,19,Buss,FALSE
Hanley Highway/Westway,15/06/2024,8:02:17,NW,SE,Clear,20,26,Van,FALSE
Hanley Highway/Westway,15/06/2024,8:21:31,SW,NW,Clear,20,12,Car,FALSE
Hanley Highway/Westway,15/06/2024,8:40:36,NW,SW,Clear,20,1,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:41:47,N,W,Clear,30,6,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:30:35,S,W,Clear,30,13,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:33:42,S,S,Clear,30,32,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:54:18,N,E,Clear,30,10,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:55:35,S,S,Clear,30,7,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:30:57,E,N,Clear,30,24,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:11:51,S,S,Clear,30,11,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:04:40,E,N,Clear,30,31,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,9:51:37,S,E,Clear,30,31,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:42:15,S,E,Clear,30,29,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:42:01,E,N,Clear,30,12,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:01:26,N,E,Clear,30,16,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,9:57:59,W,W,Clear,30,12,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:08:15,N,W,Clear,30,25,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,9:44:06,S,S,Clear,30,15,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:53:35,S,S,Clear,30,24,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:16:49,E,N,Clear,30,28,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:07:47,W,N,Clear,30,24,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:07:33,S,E,Clear,30,25,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:13:59,W,W,Clear,30,1,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:34:42,S,E,Clear,30,14,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:36:27,E,N,Clear,30,24,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:04:30,S,E,Clear,30,31,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,9:55:26,N,N,Clear,30,31,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:58:12,W,S,Clear,30,19,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:31:06,N,N,Clear,30,14,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:50:15,S,W,Clear,30,10,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:51:06,S,E,Clear,30,31,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:21:56,S,W,Clear,30,6,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:14:10,N,N,Clear,30,6,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,9:23:47,N,W,Clear,30,30,Truck,FALSE
Hanley Highway/Westway,15/06/2024,9:48:48,NW,SW,Clear,20,10,Van,FALSE
Hanley Highway/Westway,15/06/2024,9:37:56,SW,NW,Clear,20,10,Buss,FALSE
Hanley Highway/Westway,15/06/2024,9:30:35,SW,SW,Clear,20,8,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,9:58:30,NW,SW,Clear,20,18,Buss,FALSE
Hanley Highway/Westway,15/06/2024,9:15:12,SW,SE,Clear,20,7,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,9:31:08,SW,SE,Clear,20,12,Car,TRUE
Hanley Highway/Westway,15/06/2024,9:03:17,NW,SE,Clear,20,6,Truck,FALSE
Hanley Highway/Westway,15/06/2024,9:32:47,SW,SW,Clear,20,27,Truck,FALSE
Hanley Highway/Westway,15/06/2024,9:21:33,SW,SW,Clear,20,20,Car,TRUE
Hanley Highway/Westway,15/06/2024,9:11:23,NW,NW,Clear,20,10,Motorcycle,TRUE
Hanley Highway/Westway,15/06/2024,9:14:27,NW,NW,Clear,20,21,Van,FALSE
Hanley Highway/Westway,15/06/2024,9:08:24,SE,SE,Clear,20,19,Car,FALSE
Hanley Highway/Westway,15/06/2024,9:09:57,SE,SE,Clear,20,1,Truck,FALSE
Hanley Highway/Westway,15/06/2024,9:54:09,SW,NW,Clear,20,10,Car,FALSE
Hanley Highway/Westway,15/06/2024,9:34:08,SW,SE,Clear,20,11,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,9:00:11,NW,NW,Clear,20,11,Car,TRUE
Hanley Highway/Westway,15/06/2024,9:21:30,SW,SW,Clear,20,6,Car,FALSE
Hanley Highway/Westway,15/06/2024,9:23:50,NW,SE,Clear,20,7,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,9:41:22,SW,SE,Clear,20,24,Truck,FALSE
Hanley Highway/Westway,15/06/2024,9:45:14,SW,NW,Clear,20,12,Van,FALSE
Hanley Highway/Westway,15/06/2024,9:10:24,SE,SW,Clear,20,27,Truck,FALSE
Hanley Highway/Westway,15/06/2024,9:35:32,NE,SE,Clear,20,15,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,9:45:29,SW,NW,Clear,20,12,Car,FALSE
Hanley Highway/Westway,15/06/2024,9:36:32,SW,SE,Clear,20,26,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,9:58:01,SW,NW,Clear,20,19,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,9:29:44,SW,SW,Clear,20,3,Car,TRUE
Hanley Highway/Westway,15/06/2024,9:34:14,SE,SW,Clear,20,15,Van,TRUE
Hanley Highway/Westway,15/06/2024,9:54:08,SW,SW,Clear,20,24,Car,TRUE
Hanley Highway/Westway,15/06/2024,9:34:36,NW,SW,Clear,20,6,Truck,FALSE
Hanley Highway/Westway,15/06/2024,9:43:41,SW,SW,Clear,20,11,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,9:40:34,SW,NW,Clear,20,8,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,9:23:33,SW,NW,Clear,20,20,Van,TRUE
Hanley Highway/Westway,15/06/2024,9:53:18,SW,NW,Clear,20,17,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:28:42,E,N,Clear,30,2,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,10:26:50,N,N,Clear,30,23,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:26:21,W,W,Clear,30,32,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:55:50,N,N,Clear,30,18,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,10:22:31,S,W,Clear,30,22,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:40:10,S,W,Clear,30,29,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:19:01,E,N,Clear,30,11,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,10:35:52,N,W,Clear,30,16,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:11:32,S,W,Clear,30,12,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,10:45:28,N,N,Clear,30,30,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:59:35,N,E,Clear,30,18,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:56:20,W,W,Clear,30,19,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:09:13,N,E,Clear,30,20,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:11:08,E,E,Clear,30,24,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:30:26,N,N,Clear,30,10,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,10:05:28,N,W,Clear,30,13,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:33:09,N,E,Clear,30,9,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:41:24,E,N,Clear,30,33,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,10:24:04,S,E,Clear,30,24,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:11:08,S,E,Clear,30,16,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:49:31,N,E,Clear,30,25,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:23:36,W,N,Clear,30,3,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:29:54,W,N,Clear,30,31,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:53:24,W,N,Clear,30,28,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,10:39:05,W,N,Clear,30,22,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:53:17,W,S,Clear,30,3,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,10:06:48,N,E,Clear,30,5,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,10:04:19,E,E,Clear,30,32,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,10:20:49,S,S,Clear,30,11,Truck,FALSE
Hanley Highway/Westway,15/06/2024,10:11:10,SW,SE,Clear,20,14,Car,FALSE
Hanley Highway/Westway,15/06/2024,10:02:47,SW,NW,Clear,20,20,Buss,FALSE
Hanley Highway/Westway,15/06/2024,10:25:46,SW,NW,Clear,20,21,Buss,FALSE
Hanley Highway/Westway,15/06/2024,10:02:14,NE,NE,Clear,20,17,Van,FALSE
Hanley Highway/Westway,15/06/2024,10:27:27,SW,SE,Clear,20,7,Truck,FALSE
Hanley Highway/Westway,15/06/2024,10:51:34,NW,SE,Clear,20,9,Buss,FALSE
Hanley Highway/Westway,15/06/2024,10:03:19,NE,NE,Clear,20,4,Van,FALSE
Hanley Highway/Westway,15/06/2024,10:49:52,NE,SE,Clear,20,17,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,10:56:55,SW,SW,Clear,20,11,Van,FALSE
Hanley Highway/Westway,15/06/2024,10:55:59,NW,NW,Clear,20,15,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,10:15:32,SW,SW,Clear,20,24,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,10:57:15,SW,NW,Clear,20,20,Car,FALSE
Hanley Highway/Westway,15/06/2024,10:57:53,SW,SW,Clear,20,16,Car,FALSE
Hanley Highway/Westway,15/06/2024,10:03:49,NE,NE,Clear,20,17,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,10:32:09,NW,NW,Clear,20,19,Scooter,TRUE
Hanley Highway/Westway,15/06/2024,10:46:21,SW,SW,Clear,20,3,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,10:21:42,NW,SW,Clear,20,21,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,10:49:00,SW,SE,Clear,20,19,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,10:22:12,NE,NE,Clear,20,11,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,10:04:19,NW,NW,Clear,20,5,Car,FALSE
Hanley Highway/Westway,15/06/2024,10:47:20,SW,NW,Clear,20,25,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,10:39:44,SW,NW,Clear,20,2,Van,TRUE
Hanley Highway/Westway,15/06/2024,10:29:19,SW,SE,Clear,20,1,Car,FALSE
Hanley Highway/Westway,15/06/2024,10:01:24,SW,SE,Clear,20,6,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,10:19:30,SW,SW,Clear,20,20,Truck,FALSE
Hanley Highway/Westway,15/06/2024,10:30:17,SW,NW,Clear,20,20,Truck,FALSE
Hanley Highway/Westway,15/06/2024,10:18:19,NW,SE,Clear,20,14,Buss,FALSE
Hanley Highway/Westway,15/06/2024,10:27:13,SW,SE,Clear,20,6,Car,FALSE
Hanley Highway/Westway,15/06/2024,10:11:40,SE,NE,Clear,20,5,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,11:55:01,W,S,Overcast,30,22,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:49:43,E,N,Overcast,30,28,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,11:28:41,E,E,Overcast,30,23,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,11:48:38,S,S,Overcast,30,30,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:28:13,N,W,Overcast,30,11,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:39:09,N,W,Overcast,30,13,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,11:01:16,S,E,Overcast,30,3,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:53:20,N,W,Overcast,30,28,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:10:59,E,N,Overcast,30,4,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:13:40,S,S,Overcast,30,8,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:03:47,S,W,Overcast,30,30,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:32:25,N,W,Overcast,30,15,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:45:00,E,E,Overcast,30,27,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:53:26,E,E,Overcast,30,17,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:41:50,E,E,Overcast,30,30,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,11:19:51,S,W,Overcast,30,34,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:55:34,S,S,Overcast,30,24,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,11:57:12,N,E,Overcast,30,18,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,11:42:54,E,S,Overcast,30,5,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:38:23,N,W,Overcast,30,23,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:50:16,S,S,Overcast,30,21,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,11:39:40,S,S,Overcast,30,28,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:14:59,W,S,Overcast,30,27,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,11:17:00,S,E,Overcast,30,32,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:25:55,S,W,Overcast,30,19,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:38:00,S,W,Overcast,30,7,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,11:33:02,S,W,Overcast,30,28,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,11:41:55,NW,SW,Overcast,20,12,Bicycle,FALSE
Hanley Highway/Westway,15/06/2024,11:28:38,SW,SW,Overcast,20,5,Car,TRUE
Hanley Highway/Westway,15/06/2024,11:05:01,NW,NW,Overcast,20,20,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,11:25:52,SW,NW,Overcast,20,8,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,11:28:00,SW,SE,Overcast,20,7,Car,TRUE
Hanley Highway/Westway,15/06/2024,11:14:28,NW,SW,Overcast,20,2,Buss,FALSE
Hanley Highway/Westway,15/06/2024,11:38:40,SW,SE,Overcast,20,12,Van,FALSE
Hanley Highway/Westway,15/06/2024,11:52:02,NW,SW,Overcast,20,20,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,11:19:14,SW,NW,Overcast,20,15,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,11:15:10,SW,SW,Overcast,20,11,Buss,FALSE
Hanley Highway/Westway,15/06/2024,11:06:42,NE,NE,Overcast,20,12,Truck,FALSE
Hanley Highway/Westway,15/06/2024,11:02:54,SE,SW,Overcast,20,14,Buss,TRUE
Hanley Highway/Westway,15/06/2024,11:43:08,SW,SW,Overcast,20,10,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,11:47:10,SW,NW,Overcast,20,19,Truck,FALSE
Hanley Highway/Westway,15/06/2024,11:52:24,SW,SE,Overcast,20,7,Truck,FALSE
Hanley Highway/Westway,15/06/2024,11:56:26,NW,NW,Overcast,20,25,Buss,FALSE
Hanley Highway/Westway,15/06/2024,11:02:55,SW,SW,Overcast,20,3,Buss,FALSE
Hanley Highway/Westway,15/06/2024,11:27:05,NW,SW,Overcast,20,9,Van,TRUE
Hanley Highway/Westway,15/06/2024,11:04:39,SE,SW,Overcast,20,25,Van,TRUE
Hanley Highway/Westway,15/06/2024,11:49:39,SW,SW,Overcast,20,24,Bicycle,TRUE
Hanley Highway/Westway,15/06/2024,11:45:32,SW,SW,Overcast,20,17,Buss,FALSE
Hanley Highway/Westway,15/06/2024,11:30:52,NW,NW,Overcast,20,3,Motorcycle,FALSE
Hanley Highway/Westway,15/06/2024,11:39:36,NW,SE,Overcast,20,13,Van,FALSE
Hanley Highway/Westway,15/06/2024,11:54:55,SW,SW,Overcast,20,1,Car,FALSE
Hanley Highway/Westway,15/06/2024,11:20:32,SW,NW,Overcast,20,16,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:36:04,W,W,Overcast,30,25,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:46:50,S,E,Overcast,30,2,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:20:06,S,W,Overcast,30,10,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,12:03:50,N,N,Overcast,30,33,Car,TRUE
Elm Avenue/Rabbit Road,15/06/2024,12:46:41,S,W,Overcast,30,14,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:00:09,N,N,Overcast,30,6,Motorcycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:38:33,N,E,Overcast,30,32,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,12:46:34,E,E,Overcast,30,8,Bicycle,TRUE
Elm Avenue/Rabbit Road,15/06/2024,12:08:30,E,N,Overcast,30,17,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:54:33,N,N,Overcast,30,30,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:24:27,S,E,Overcast,30,10,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,12:30:43,E,N,Overcast,30,15,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:35:08,W,W,Overcast,30,12,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,12:49:56,S,S,Overcast,30,32,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:51:15,S,S,Overcast,30,16,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,12:05:40,N,E,Overcast,30,22,Car,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:45:12,S,S,Overcast,30,11,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,12:35:58,S,W,Overcast,30,6,Bicycle,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:33:06,N,N,Overcast,30,2,Truck,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:04:32,W,W,Overcast,30,2,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:40:54,S,E,Overcast,30,5,Van,TRUE
Elm Avenue/Rabbit Road,15/06/2024,12:16:34,W,N,Overcast,30,33,Scooter,TRUE
Elm Avenue/Rabbit Road,15/06/2024,12:22:12,E,N,Overcast,30,25,Buss,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:38:03,W,N,Overcast,30,29,Van,FALSE
Elm Avenue/Rabbit Road,15/06/2024,12:06:08,N,W,Overcast,30,11,Car,FALSE
Hanley Highway/Westway,15/06/2024,12:34:53,SW,SE,Overcast,20,12,Car,FALSE
